,BAD,Loan Total,Mortgage Due,Value,Reason of Default,Occupation,Years at Job,Major derogatory,Delinquent credit lines,Age Of Oldest Credit Line in Months,Number Of Recent Credit Inquiries,Number of Credit Lines,Debt-to-Income Ratio,Home Value
892,0,8900,58839.0,"80000-99,999",DebtCon,Office,4.0,0.0,0.0,102.24646959,2.0,15.0,26.206409951999998,"80000-99,999"
5856,0,51600,31536.0,"80000-99,999",HomeImp,Other,2.0,1.0,0.0,267.13437417,6.0,13.0,40.155031167,"80000-99,999"
431,1,6700,,"80000-99,999",HomeImp,Other,19.0,,,,,,40.894931701,"80000-99,999"
1466,1,11000,62227.0,"80000-99,999",DebtCon,Office,9.0,0.0,5.0,123.76666667,3.0,34.0,,"80000-99,999"
2211,0,13600,67354.0,"80000-99,999",DebtCon,Office,10.0,0.0,0.0,255.37875694,4.0,36.0,41.625398584,"80000-99,999"
4400,0,22900,,"80000-99,999",DebtCon,Sales,3.0,0.0,0.0,405.86784833,0.0,22.0,23.542129915,"80000-99,999"
2679,0,15200,59745.0,"80000-99,999",DebtCon,,8.0,,,,,,26.985581223,"80000-99,999"
651,0,8000,70546.0,"80000-99,999",DebtCon,Sales,4.0,0.0,0.0,119.06692204,0.0,31.0,33.361586300999996,"80000-99,999"
2269,0,13900,11413.0,"80000-99,999",DebtCon,Other,7.0,0.0,0.0,239.08369595,0.0,14.0,19.626149514,"80000-99,999"
2514,0,14900,60667.0,"80000-99,999",DebtCon,,6.0,,,,,,27.573736504,"80000-99,999"
859,0,8700,62400.0,"80000-99,999",DebtCon,Office,6.0,0.0,0.0,98.028870439,2.0,14.0,26.620897734,"80000-99,999"
5883,0,53800,,"80000-99,999",HomeImp,Self,9.0,0.0,0.0,171.44755466,0.0,22.0,24.709060359000002,"80000-99,999"
2510,0,14900,48649.0,"80000-99,999",DebtCon,Mgr,3.0,0.0,0.0,110.05673141,0.0,8.0,28.802398700999998,"80000-99,999"
5306,0,29500,48590.0,"80000-99,999",DebtCon,Office,0.0,0.0,0.0,157.02632626,3.0,18.0,40.170618286,"80000-99,999"
4386,0,22800,52760.0,"80000-99,999",,,,,,,,,38.024677319,"80000-99,999"
2296,0,13900,63831.0,"80000-99,999",DebtCon,,9.0,,,,,,24.371050483,"80000-99,999"
2092,0,13200,58549.0,"80000-99,999",DebtCon,Office,13.0,0.0,0.0,94.687106657,0.0,24.0,38.412756136,"80000-99,999"
2493,0,14900,56506.0,"80000-99,999",HomeImp,ProfExe,12.0,0.0,2.0,170.76666667,0.0,14.0,,"80000-99,999"
4036,0,21100,55863.0,"80000-99,999",DebtCon,Mgr,10.0,1.0,0.0,74.576426981,2.0,27.0,36.760275709,"80000-99,999"
1348,0,10600,62909.0,"80000-99,999",HomeImp,Other,15.0,0.0,0.0,238.31447075,1.0,35.0,34.680381648,"80000-99,999"
2094,1,13200,65372.0,"80000-99,999",DebtCon,Other,4.0,,1.0,102.62083630000001,3.0,29.0,38.934169132,"80000-99,999"
2223,1,13700,59012.0,"80000-99,999",DebtCon,Mgr,12.0,0.0,0.0,167.43333333,0.0,31.0,,"80000-99,999"
1463,1,11000,66400.0,"80000-99,999",DebtCon,Other,9.5,0.0,0.0,215.06666667,0.0,65.0,,"80000-99,999"
5184,0,27900,50988.0,"80000-99,999",DebtCon,Office,1.0,0.0,0.0,167.61445006,2.0,18.0,40.620884753,"80000-99,999"
3366,0,17900,63559.0,"80000-99,999",HomeImp,ProfExe,13.0,0.0,3.0,176.87076849,0.0,13.0,26.189767088000004,"80000-99,999"
3052,0,16600,55912.0,"80000-99,999",DebtCon,Other,6.0,,,106.51293172,0.0,7.0,36.763752671999995,"80000-99,999"
4459,1,23200,14511.0,"80000-99,999",DebtCon,Other,7.0,0.0,3.0,272.93829900000003,0.0,23.0,47.120580493,"80000-99,999"
2073,0,13100,64897.0,"80000-99,999",DebtCon,Sales,7.0,0.0,0.0,130.64846835,0.0,34.0,26.500105076,"80000-99,999"
3142,0,17000,70085.0,"80000-99,999",DebtCon,Office,7.0,0.0,0.0,117.19539923,1.0,20.0,21.981835715,"80000-99,999"
499,1,7000,74500.0,"80000-99,999",HomeImp,ProfExe,2.0,2.0,0.0,340.9,0.0,29.0,,"80000-99,999"
246,0,5500,43486.0,"80000-99,999",DebtCon,,4.0,0.0,0.0,216.13333333,4.0,30.0,,"80000-99,999"
4460,0,23200,40905.0,"80000-99,999",DebtCon,ProfExe,6.0,0.0,0.0,274.00207957,0.0,19.0,40.109442513000005,"80000-99,999"
3648,0,19200,54483.0,"80000-99,999",DebtCon,Other,16.0,0.0,0.0,198.70251643,0.0,21.0,37.749426528,"80000-99,999"
4081,0,21300,55140.0,"80000-99,999",DebtCon,Other,12.0,0.0,0.0,109.90068569,1.0,10.0,4.384983222,"80000-99,999"
1803,0,12200,70722.0,"80000-99,999",DebtCon,Other,0.0,0.0,0.0,219.78527278,3.0,26.0,30.277005375999998,"80000-99,999"
2364,0,14300,67018.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,253.59245092,3.0,25.0,30.686218745999998,"80000-99,999"
609,0,7700,70451.0,"80000-99,999",DebtCon,Sales,3.0,0.0,0.0,141.26867109,0.0,31.0,31.68194302,"80000-99,999"
4378,0,22800,49361.0,"80000-99,999",DebtCon,Mgr,4.0,0.0,0.0,264.93706618,2.0,25.0,32.010244608,"80000-99,999"
1530,1,11200,68990.0,"80000-99,999",DebtCon,Mgr,12.0,0.0,1.0,120.88581123,2.0,23.0,43.159875328999995,"80000-99,999"
2458,0,14700,65660.0,"80000-99,999",DebtCon,Office,2.0,0.0,0.0,106.65751886,1.0,19.0,25.197806875,"80000-99,999"
2151,0,13400,60174.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,125.38544605,3.0,9.0,36.229863857,"80000-99,999"
4497,0,23500,48286.0,"80000-99,999",DebtCon,Mgr,6.0,0.0,0.0,248.86009427,2.0,25.0,32.467300894,"80000-99,999"
419,0,6600,68733.0,"80000-99,999",HomeImp,Other,5.0,0.0,0.0,96.977667199,0.0,14.0,42.211046784000004,"80000-99,999"
3151,1,17000,52663.0,"80000-99,999",,,,,,,,,,"80000-99,999"
1746,1,12000,59099.0,"80000-99,999",DebtCon,Other,10.0,0.0,2.0,219.13333333,0.0,33.0,,"80000-99,999"
1075,1,9700,47000.0,"80000-99,999",HomeImp,Other,,1.0,2.0,96.633333333,,8.0,,"80000-99,999"
3165,1,17000,56800.0,"80000-99,999",DebtCon,ProfExe,22.0,0.0,5.0,320.6,4.0,28.0,,"80000-99,999"
1548,0,11300,66814.0,"80000-99,999",DebtCon,Office,4.0,2.0,3.0,173.71183851,3.0,29.0,38.556929453,"80000-99,999"
5378,0,30800,54981.0,"80000-99,999",DebtCon,Office,2.0,0.0,0.0,165.07784739,2.0,19.0,41.239256279,"80000-99,999"
1357,0,10600,63245.0,"80000-99,999",DebtCon,Office,3.0,1.0,3.0,184.57257819999998,3.0,29.0,38.219034312,"80000-99,999"
1299,0,10400,57816.0,"80000-99,999",HomeImp,Other,3.0,0.0,1.0,176.65689456,0.0,12.0,30.674205288000003,"80000-99,999"
349,0,6200,45356.0,"80000-99,999",DebtCon,,2.0,0.0,0.0,201.33448747,4.0,29.0,29.661710162,"80000-99,999"
2869,0,15900,58518.0,"80000-99,999",HomeImp,ProfExe,10.0,0.0,2.0,177.24777998,0.0,14.0,28.818793116,"80000-99,999"
703,0,8100,69047.0,"80000-99,999",DebtCon,Sales,3.0,0.0,0.0,121.41114886,0.0,30.0,35.073918357,"80000-99,999"
1419,0,10800,67171.0,"80000-99,999",HomeImp,Other,2.0,0.0,0.0,89.124526305,0.0,6.0,38.803146399999996,"80000-99,999"
5812,0,50000,,"80000-99,999",HomeImp,Other,,0.0,0.0,342.86666667,0.0,7.0,,"80000-99,999"
1655,0,11800,67336.0,"80000-99,999",DebtCon,Office,12.0,0.0,0.0,255.31353476,3.0,36.0,40.878428241,"80000-99,999"
805,0,8500,78346.0,"80000-99,999",HomeImp,Other,22.0,0.0,0.0,320.34954262,1.0,47.0,30.199399523,"80000-99,999"
1366,0,10600,72022.0,"80000-99,999",DebtCon,Office,5.0,1.0,2.0,181.76894044,3.0,30.0,39.594148271,"80000-99,999"
274,0,5700,49806.0,"80000-99,999",DebtCon,,3.0,0.0,0.0,210.34747857,3.0,30.0,31.243408701,"80000-99,999"
3253,0,17400,62824.0,"80000-99,999",DebtCon,Other,5.0,,,109.48274852,0.0,7.0,34.818444993,"80000-99,999"
2736,1,15500,57993.0,"80000-99,999",DebtCon,Other,10.0,0.0,0.0,173.07296854,0.0,16.0,32.142468978000004,"80000-99,999"
1629,0,11700,63724.0,"80000-99,999",DebtCon,Office,13.0,0.0,0.0,233.24887936,3.0,37.0,40.075275838,"80000-99,999"
5849,0,51100,28312.0,"80000-99,999",HomeImp,Other,3.0,2.0,0.0,269.33597552,6.0,14.0,41.087535376,"80000-99,999"
235,0,5400,68625.0,"80000-99,999",DebtCon,Sales,2.0,0.0,0.0,136.63294416,0.0,30.0,32.05002349,"80000-99,999"
3227,0,17200,27230.0,"80000-99,999",HomeImp,Other,,0.0,0.0,249.21566716,1.0,50.0,43.756794085,"80000-99,999"
1766,0,12100,13218.0,"80000-99,999",DebtCon,Other,7.0,0.0,0.0,262.39425427,0.0,14.0,18.430472375,"80000-99,999"
3564,1,18700,66003.0,"80000-99,999",DebtCon,Mgr,0.0,1.0,0.0,85.77380757,1.0,23.0,51.517385302,"80000-99,999"
5069,0,27000,45880.0,"80000-99,999",DebtCon,Other,21.0,0.0,0.0,212.64422077,0.0,27.0,36.997793604,"80000-99,999"
240,0,5500,70481.0,"80000-99,999",HomeImp,Other,8.0,0.0,1.0,116.59197688,0.0,24.0,37.612682724,"80000-99,999"
3310,0,17600,64857.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,312.88247401,3.0,15.0,43.478862555,"80000-99,999"
3471,1,18300,60100.0,"80000-99,999",DebtCon,ProfExe,10.0,3.0,1.0,171.46666667,2.0,64.0,,"80000-99,999"
3746,0,19900,45748.0,"80000-99,999",,,,,,,,,39.313878015,"80000-99,999"
863,0,8700,68186.0,"80000-99,999",HomeImp,Other,1.0,0.0,0.0,105.10225507,0.0,7.0,36.44893885,"80000-99,999"
2941,0,16200,49552.0,"80000-99,999",DebtCon,Mgr,4.0,0.0,0.0,131.7057154,1.0,8.0,28.172032888,"80000-99,999"
5068,0,27000,54515.0,"80000-99,999",DebtCon,Other,20.0,0.0,0.0,203.8613989,0.0,26.0,37.11235228,"80000-99,999"
1945,0,12700,53199.0,"80000-99,999",HomeImp,Other,3.0,0.0,1.0,185.32503543,0.0,13.0,27.390380405,"80000-99,999"
1932,0,12700,58293.0,"80000-99,999",DebtCon,Office,13.0,0.0,0.0,105.05041496,0.0,23.0,36.700445544000004,"80000-99,999"
179,1,5000,78893.0,"80000-99,999",HomeImp,Mgr,16.0,0.0,0.0,133.9,1.0,34.0,,"80000-99,999"
5881,0,53700,24158.0,"80000-99,999",HomeImp,Other,2.0,2.0,0.0,250.66654255,6.0,14.0,43.268375449,"80000-99,999"
1341,1,10600,61294.0,"80000-99,999",DebtCon,ProfExe,5.0,0.0,4.0,87.859169291,2.0,13.0,36.395148149,"80000-99,999"
2925,1,16100,61712.0,"80000-99,999",DebtCon,Other,12.0,0.0,0.0,94.64512360299999,0.0,9.0,27.548831204000003,"80000-99,999"
5867,0,52700,23905.0,"80000-99,999",HomeImp,Other,4.0,2.0,0.0,253.35130183,7.0,14.0,42.836955133000004,"80000-99,999"
3536,1,18600,64248.0,"80000-99,999",DebtCon,Mgr,0.0,1.0,0.0,89.189005469,0.0,23.0,53.848219887,"80000-99,999"
46,1,3000,47000.0,"80000-99,999",HomeImp,ProfExe,10.0,0.0,1.0,262.16666667,5.0,26.0,,"80000-99,999"
1576,0,11500,56720.0,"80000-99,999",HomeImp,Other,17.0,0.0,0.0,200.41695429,0.0,16.0,34.019837691999996,"80000-99,999"
1752,1,12000,54257.0,"80000-99,999",,Other,14.0,1.0,1.0,188.33742177,2.0,31.0,38.942759641,"80000-99,999"
700,0,8100,66691.0,"80000-99,999",DebtCon,,4.0,0.0,0.0,184.19341758,0.0,15.0,32.396509486999996,"80000-99,999"
3687,0,19400,53000.0,"80000-99,999",DebtCon,Other,18.0,0.0,0.0,206.96666667,1.0,22.0,,"80000-99,999"
193,0,5000,66435.0,"80000-99,999",HomeImp,Other,2.0,0.0,0.0,125.13062556,0.0,14.0,42.183538672,"80000-99,999"
3845,0,20100,57192.0,"80000-99,999",DebtCon,Other,5.0,,,91.701436768,0.0,7.0,36.635230799,"80000-99,999"
1231,0,10100,63283.0,"80000-99,999",HomeImp,Other,0.0,0.0,0.0,99.81625825100001,1.0,7.0,38.370539706,"80000-99,999"
279,0,5700,62319.0,"80000-99,999",HomeImp,Other,4.0,0.0,0.0,117.6739652,0.0,15.0,42.464866285,"80000-99,999"
3103,0,16800,58193.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,320.06300966,3.0,16.0,42.845962863000004,"80000-99,999"
106,0,4200,66272.0,"80000-99,999",HomeImp,Other,3.0,0.0,0.0,110.27866259,0.0,15.0,43.45058791100001,"80000-99,999"
5425,0,31900,34498.0,"80000-99,999",DebtCon,Other,,,,285.2974893,0.0,16.0,41.155241247,"80000-99,999"
808,0,8500,77954.0,"80000-99,999",HomeImp,Other,25.0,0.0,0.0,350.7763043,1.0,46.0,28.584515556,"80000-99,999"
2383,0,14400,64500.0,"80000-99,999",DebtCon,Other,10.0,0.0,0.0,83.2,3.0,11.0,,"80000-99,999"
2822,1,15800,58100.0,"80000-99,999",DebtCon,ProfExe,2.0,1.0,1.0,284.06666667,4.0,27.0,,"80000-99,999"
1589,1,11500,62000.0,"80000-99,999",DebtCon,,0.0,5.0,1.0,177.56666667,2.0,34.0,,"80000-99,999"
4247,1,22100,57000.0,"80000-99,999",DebtCon,Other,7.0,0.0,0.0,,0.0,0.0,,"80000-99,999"
461,1,6900,37055.0,"80000-99,999",HomeImp,Sales,1.0,0.0,0.0,122.26666667,2.0,43.0,,"80000-99,999"
1588,1,11500,67000.0,"80000-99,999",DebtCon,ProfExe,4.0,,,,,,,"80000-99,999"
4712,0,24900,51155.0,"80000-99,999",DebtCon,Other,9.0,1.0,1.0,139.03333333,3.0,30.0,,"80000-99,999"
1946,0,12700,58606.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,125.32588539,3.0,11.0,35.999610723,"80000-99,999"
432,0,6700,69773.0,"80000-99,999",HomeImp,Other,0.0,1.0,0.0,263.17343429,0.0,5.0,37.70699649,"80000-99,999"
4689,0,24700,53925.0,"80000-99,999",DebtCon,Mgr,4.0,0.0,0.0,251.18839280000003,2.0,25.0,34.889241727,"80000-99,999"
1427,0,10900,49406.0,"80000-99,999",HomeImp,Other,1.0,0.0,1.0,191.81512308,0.0,13.0,30.124555686,"80000-99,999"
2424,0,14600,68182.0,"80000-99,999",DebtCon,Office,5.0,0.0,0.0,135.84837377,0.0,19.0,24.684137856,"80000-99,999"
1793,0,12200,61929.0,"80000-99,999",HomeImp,Office,14.0,0.0,0.0,238.52492741,1.0,32.0,44.449670971,"80000-99,999"
3075,0,16700,59207.0,"80000-99,999",DebtCon,Other,2.0,0.0,0.0,309.49638798,3.0,15.0,43.48806641,"80000-99,999"
3734,0,19800,56745.0,"80000-99,999",DebtCon,Other,11.0,0.0,0.0,85.25361922100001,0.0,10.0,7.862193631699999,"80000-99,999"
5860,0,52000,31305.0,"80000-99,999",HomeImp,Other,3.0,1.0,0.0,268.38580771,7.0,14.0,42.402933466,"80000-99,999"
3562,0,18700,66197.0,"80000-99,999",HomeImp,ProfExe,12.0,0.0,2.0,157.94598178,0.0,14.0,29.349485795,"80000-99,999"
1763,0,12100,48622.0,"80000-99,999",HomeImp,Other,4.0,0.0,2.0,191.56929158,0.0,12.0,29.204499555,"80000-99,999"
556,0,7400,65032.0,"80000-99,999",HomeImp,Other,15.0,0.0,0.0,230.42025592,1.0,35.0,35.415112916,"80000-99,999"
2041,0,13000,59000.0,"80000-99,999",HomeImp,Other,,0.0,0.0,292.1,0.0,20.0,,"80000-99,999"
380,0,6400,76577.0,"80000-99,999",DebtCon,,5.0,,,,,,22.055034214000003,"80000-99,999"
3266,0,17400,25844.0,"80000-99,999",HomeImp,Other,,0.0,0.0,247.76164585,0.0,50.0,43.701331235,"80000-99,999"
2974,0,16300,59901.0,"80000-99,999",HomeImp,Other,,0.0,0.0,284.51430538,0.0,20.0,27.898802748,"80000-99,999"
5369,0,30700,36804.0,"80000-99,999",DebtCon,Other,,,,289.39981606,0.0,15.0,42.21386978,"80000-99,999"
1641,0,11700,56990.0,"80000-99,999",HomeImp,Other,4.0,0.0,2.0,177.43269886,0.0,13.0,30.998694504,"80000-99,999"
5244,0,28500,49461.0,"80000-99,999",DebtCon,Other,21.0,0.0,0.0,210.02505835,0.0,26.0,37.301764099,"80000-99,999"
5839,0,50700,,"80000-99,999",HomeImp,Self,9.0,0.0,0.0,190.22925104,0.0,21.0,25.655976854000002,"80000-99,999"
591,0,7500,67778.0,"80000-99,999",DebtCon,ProfExe,15.0,0.0,0.0,227.29208976,0.0,17.0,24.091770363000002,"80000-99,999"
2563,0,15000,53000.0,"80000-99,999",HomeImp,ProfExe,5.0,0.0,0.0,120.3,0.0,13.0,,"80000-99,999"
844,0,8700,53073.0,"80000-99,999",DebtCon,,2.0,0.0,0.0,211.26878022,3.0,29.0,30.201509456,"80000-99,999"
4035,0,21100,48624.0,"80000-99,999",,,,,,,,,39.671408305,"80000-99,999"
5866,0,52400,27234.0,"80000-99,999",HomeImp,Other,2.0,2.0,0.0,250.61402393,6.0,14.0,40.54824598,"80000-99,999"
260,0,5600,69435.0,"80000-99,999",DebtCon,ProfExe,14.0,0.0,0.0,200.41843402,1.0,17.0,22.841092848000002,"80000-99,999"
664,0,8000,70917.0,"80000-99,999",DebtCon,Mgr,8.0,0.0,0.0,107.5,0.0,23.0,,"80000-99,999"
3678,0,19300,51580.0,"80000-99,999",DebtCon,Other,13.0,0.0,0.0,89.525931995,0.0,9.0,7.1484132133000005,"80000-99,999"
1291,0,10400,66044.0,"80000-99,999",HomeImp,Office,12.0,0.0,0.0,241.51415322,0.0,31.0,45.569842652,"80000-99,999"
2512,0,14900,69723.0,"80000-99,999",DebtCon,Office,5.0,0.0,0.0,114.85553461,1.0,19.0,22.957291799,"80000-99,999"
3939,1,20600,52946.0,"80000-99,999",DebtCon,Other,0.0,0.0,0.0,65.88287939199999,0.0,10.0,65.143593455,"80000-99,999"
1927,0,12700,72760.0,"80000-99,999",DebtCon,Office,6.0,2.0,3.0,189.9194249,3.0,29.0,37.368560459,"80000-99,999"
5787,0,47500,,"80000-99,999",HomeImp,Office,10.0,0.0,0.0,298.43084814,0.0,12.0,32.408686133,"80000-99,999"
612,0,7700,76056.0,"80000-99,999",HomeImp,Other,22.0,0.0,0.0,353.19562851,0.0,47.0,28.544528866999997,"80000-99,999"
4533,0,23600,56023.0,"80000-99,999",DebtCon,Mgr,5.0,0.0,0.0,267.75553453,2.0,25.0,32.200781329,"80000-99,999"
4711,1,24900,62191.0,"80000-99,999",HomeImp,Other,3.0,0.0,0.0,55.937512295,0.0,14.0,62.110721871,"80000-99,999"
3084,0,16800,57329.0,"80000-99,999",DebtCon,Other,3.0,0.0,0.0,294.99970155,2.0,16.0,40.625052691,"80000-99,999"
4039,0,21100,61427.0,"80000-99,999",DebtCon,Other,19.0,0.0,0.0,220.55353362,0.0,21.0,32.72762776,"80000-99,999"
1889,0,12500,66163.0,"80000-99,999",DebtCon,Office,4.0,1.0,2.0,176.93524748,3.0,30.0,36.774639954,"80000-99,999"
596,0,7600,77518.0,"80000-99,999",DebtCon,,4.0,,,,,,22.655140285999998,"80000-99,999"
5900,1,61400,46126.0,"80000-99,999",,Other,33.0,0.0,1.0,339.9,1.0,23.0,,"80000-99,999"
5295,0,29200,50105.0,"80000-99,999",DebtCon,Other,21.0,0.0,0.0,188.20102865,0.0,26.0,35.595750669,"80000-99,999"
1986,0,12900,64245.0,"80000-99,999",DebtCon,Office,13.0,0.0,0.0,246.8377195,3.0,36.0,40.560130328,"80000-99,999"
1962,1,12800,54151.0,"80000-99,999",DebtCon,Other,13.0,0.0,0.0,132.16026989,0.0,16.0,23.477426284,"80000-99,999"
3239,0,17300,65136.0,"80000-99,999",DebtCon,Office,6.0,0.0,0.0,127.09997366,0.0,20.0,24.5182717,"80000-99,999"
14,1,2100,71000.0,"80000-99,999",HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,"80000-99,999"
1254,0,10200,73157.0,"80000-99,999",DebtCon,,3.0,0.0,0.0,193.5089634,0.0,16.0,29.087994720999998,"80000-99,999"
763,0,8400,82597.0,"80000-99,999",HomeImp,Other,25.0,0.0,0.0,350.56813617,1.0,47.0,28.91075714,"80000-99,999"
1698,0,12000,76799.0,"80000-99,999",DebtCon,Mgr,8.0,0.0,0.0,102.20427433,0.0,22.0,27.17193008,"80000-99,999"
1397,0,10800,70214.0,"80000-99,999",DebtCon,Office,4.0,1.0,2.0,172.79930087,3.0,30.0,38.588823585,"80000-99,999"
2238,0,13700,60623.0,"80000-99,999",HomeImp,Other,,0.0,0.0,308.10854035,0.0,20.0,29.482527873000002,"80000-99,999"
1973,1,12800,67060.0,"80000-99,999",DebtCon,Office,9.0,,3.0,116.46675743,2.0,24.0,43.572307509,"80000-99,999"
2799,0,15700,64185.0,"80000-99,999",DebtCon,Other,0.2,2.0,2.0,112.03333333,2.0,26.0,,"80000-99,999"
1861,1,12400,50573.0,"80000-99,999",DebtCon,Other,15.0,1.0,0.0,76.04208692600001,0.0,7.0,41.027966747,"80000-99,999"
894,1,8900,64343.0,"80000-99,999",DebtCon,Other,4.0,0.0,0.0,39.221719253,0.0,12.0,35.788437459,"80000-99,999"
950,0,9100,47756.0,"80000-99,999",HomeImp,Other,18.0,0.0,0.0,206.79736096,1.0,17.0,32.391146387,"80000-99,999"
1522,0,11200,68890.0,"80000-99,999",DebtCon,Office,12.0,0.0,0.0,254.01968935,3.0,36.0,41.433943797,"80000-99,999"
1217,0,10100,68240.0,"80000-99,999",DebtCon,Sales,8.0,0.0,0.0,131.40418009,0.0,35.0,28.443810481,"80000-99,999"
1269,0,10300,54925.0,"80000-99,999",HomeImp,Other,2.0,0.0,1.0,189.69527288,0.0,13.0,29.133697408000003,"80000-99,999"
2902,0,16000,71670.0,"80000-99,999",DebtCon,Other,10.0,0.0,0.0,81.596128837,3.0,12.0,32.948898967,"80000-99,999"
1011,0,9400,51505.0,"80000-99,999",HomeImp,Other,19.0,0.0,0.0,202.69796289,0.0,16.0,35.530613427,"80000-99,999"
4063,0,21300,58209.0,"80000-99,999",DebtCon,Other,18.0,0.0,0.0,212.9322977,0.0,22.0,33.033146414,"80000-99,999"
5880,0,53700,,"80000-99,999",HomeImp,Other,,0.0,0.0,339.66561472,0.0,7.0,22.639940355,"80000-99,999"
1841,1,12300,73099.0,"80000-99,999",DebtCon,ProfExe,4.0,,,,,,40.222283144,"80000-99,999"
828,0,8600,75464.0,"80000-99,999",HomeImp,Other,21.0,0.0,0.0,352.65827116,0.0,47.0,28.196714905,"80000-99,999"
906,0,9000,79259.0,"80000-99,999",HomeImp,Other,22.0,0.0,0.0,359.33227239,1.0,47.0,29.671390341,"80000-99,999"
4788,0,25000,36108.0,"80000-99,999",HomeImp,Other,23.0,0.0,0.0,248.85150089,0.0,7.0,26.027040254,"80000-99,999"
344,0,6200,75657.0,"80000-99,999",DebtCon,Sales,4.0,0.0,0.0,122.24494502,0.0,30.0,32.552543335,"80000-99,999"
4380,0,22800,39166.0,"80000-99,999",DebtCon,ProfExe,11.0,0.0,0.0,276.12197299,0.0,19.0,38.968366525,"80000-99,999"
2189,0,13600,64799.0,"80000-99,999",DebtCon,Office,14.0,0.0,0.0,115.32388361,0.0,24.0,36.85085748,"80000-99,999"
217,0,5300,73698.0,"80000-99,999",DebtCon,,4.0,,,,,,19.131201179,"80000-99,999"
2675,0,15200,71233.0,"80000-99,999",DebtCon,Other,1.0,0.0,0.0,242.98332141,2.0,26.0,32.210050357,"80000-99,999"
5120,0,27500,54511.0,"80000-99,999",DebtCon,Other,9.0,0.0,1.0,140.24779602,3.0,29.0,40.278298303,"80000-99,999"
1997,0,12900,66126.0,"80000-99,999",DebtCon,Other,2.0,,,187.17919874,,34.0,29.995038406,"80000-99,999"
3718,0,19600,49984.0,"80000-99,999",DebtCon,Other,12.0,0.0,0.0,92.811333225,0.0,10.0,7.6140654223,"80000-99,999"
1363,0,10600,64546.0,"80000-99,999",DebtCon,Other,0.0,,,173.62528427,,35.0,28.971803768,"80000-99,999"
275,1,5700,70000.0,"80000-99,999",DebtCon,Sales,0.1,0.0,0.0,95.9,1.0,17.0,,"80000-99,999"
5865,0,52300,,"80000-99,999",HomeImp,Other,,1.0,0.0,350.92099628,0.0,7.0,24.355304246,"80000-99,999"
2488,0,14900,65303.0,"80000-99,999",DebtCon,Office,6.0,0.0,0.0,121.06495368,1.0,19.0,22.576823939,"80000-99,999"
1710,0,12000,72786.0,"80000-99,999",DebtCon,Office,4.0,2.0,2.0,198.76932508,3.0,30.0,38.090209026,"80000-99,999"
3723,1,19700,62351.0,"80000-99,999",DebtCon,Mgr,0.0,1.0,0.0,88.126516775,1.0,22.0,54.241334736999995,"80000-99,999"
3058,0,16600,71564.0,"80000-99,999",DebtCon,Office,5.0,0.0,0.0,114.64013288,1.0,20.0,22.323142605,"80000-99,999"
137,0,4900,67794.0,"80000-99,999",HomeImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362,"80000-99,999"
3549,0,18700,65458.0,"80000-99,999",DebtCon,Other,0.0,1.0,2.0,97.146544029,2.0,25.0,33.690687903000004,"80000-99,999"
467,0,6900,51384.0,"80000-99,999",DebtCon,,4.0,0.0,0.0,224.24703689999998,3.0,29.0,30.526150723,"80000-99,999"
1282,0,10300,59340.0,"80000-99,999",HomeImp,Other,13.0,0.0,0.0,222.36488939,1.0,36.0,34.925984254,"80000-99,999"
4253,0,22100,36084.0,"80000-99,999",HomeImp,Other,25.0,0.0,0.0,257.84572885,0.0,6.0,24.52600298,"80000-99,999"
2229,0,13700,64486.0,"80000-99,999",DebtCon,Office,4.0,2.0,3.0,182.18025649,3.0,29.0,37.073413461,"80000-99,999"
848,0,8700,30716.0,"80000-99,999",HomeImp,ProfExe,19.0,0.0,0.0,219.08523561,0.0,10.0,23.808894154,"80000-99,999"
520,0,7200,57912.0,"80000-99,999",HomeImp,Other,15.0,0.0,0.0,241.51424984,0.0,35.0,35.062675655,"80000-99,999"
417,0,6600,74376.0,"80000-99,999",DebtCon,,3.0,,,,,,20.028353505,"80000-99,999"
1115,1,9900,71371.0,"80000-99,999",DebtCon,Mgr,0.0,2.0,0.0,94.80523574899999,0.0,12.0,38.211305102,"80000-99,999"
5873,0,53300,,"80000-99,999",HomeImp,Self,8.0,0.0,0.0,169.34372393,1.0,21.0,24.031239503000002,"80000-99,999"
4669,0,24500,52000.0,"80000-99,999",DebtCon,Office,0.4,0.0,1.0,93.166666667,0.0,23.0,,"80000-99,999"
698,0,8100,66546.0,"80000-99,999",DebtCon,,3.0,0.0,0.0,225.6909893,0.0,15.0,30.398005095,"80000-99,999"
2275,0,13900,62968.0,"80000-99,999",DebtCon,Office,13.0,0.0,0.0,239.77323213,3.0,37.0,42.236189141,"80000-99,999"
3272,0,17400,64163.0,"80000-99,999",HomeImp,ProfExe,12.0,0.0,2.0,172.71116574,0.0,13.0,27.979694402,"80000-99,999"
2144,0,13400,67941.0,"80000-99,999",DebtCon,Office,6.0,1.0,3.0,179.97707017,3.0,30.0,37.428937524,"80000-99,999"
